NAME ,STATE,MCAT ,SCI GPA,OVERALL GPA ,CATEGORY,Public or Private? ,NOTES ,Application Status ,Application Deadline ,Secondary? 
Washington University in St. Louis School of Medicine,MO,522,,3.93,REACH ,Private ,,,,
Mayo Clinic School of Medicine,MN,520,,3.92,REACH ,,,,,
Harvard Medical School,MA,520,,3.9,REACH ,Private ,,,,
Columbia University College of Physicians and Surgeons,NY,521,,3.91,REACH ,Private ,,,,
Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,PA,522,,3.9,REACH ,Private ,,,,
Stanford University School of Medicine,CA,519,,3.89,REACH ,Private ,,,,
Yale School of Medicine,CT,520,3.83,3.84,REACH ,Private ,,,,
Icahn School of Medicine at Mount Sinai,NY,519,,3.87,REACH ,Private ,,,,
Vanderbilt University School of Medicine,TN,509-528,,3.1-4.0,REACH ,Private ,,,,
Duke University School of Medicine,NC,519,,3.88,REACH ,Private ,,,,
Johns Hopkins University School of Medicine,MD,518,,3.88,REACH ,Private ,,,,
Weill Cornell Medical College,NY,518,,3.88,REACH ,Private ,,,,
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,IL,519,,3.87,REACH ,Private ,,,,
New York University Long Island School of Medicine,NY,516,,3.83,REACH ,Private ,,,,
University of Virginia School of Medicine,VA,519,,3.86,REACH ,Private ,,,,
Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,NY,517,,3.82,REACH ,Private ,,,,
Saint Louis University School of Medicine,MO,514,,3.84,REACH ,Private ,,,,
University of Utah School of Medicine,UT,514,,3.84,Target Reach ,Public ,,,,
The Warren Alpert Medical School of Brown University,RI,515,,3.82,Target Reach ,Private ,,,,
Keck School of Medicine of the University of Southern California,CA,517,,3.7,Target Reach ,Private ,,,,
Case Western Reserve University School of Medicine,OH,518,,3.78,Target Reach ,Private ,,,,
Boston University School of Medicine,MA,517,,3.7,Target Reach ,Private ,,,,
University of Pittsburgh School of Medicine,PA,516,,3.83,Target Reach ,Private ,,,,
Stony Brook University School of Medicine,NY,515,,3.8,Target Reach ,Public ,,,,
California University of Science and Medicine-School of Medicine,CA,514,,3.8,Target Reach ,Private ,,,,
Albert Einstein College of Medicine of Yeshiva University,NY,515,,3.81,Target Reach ,Private ,,,,
"University of California, San Diego School of Medicine",CA,516,,3.8,Target Reach ,Public ,,,,
"University of California, San Francisco, School of Medicine",CA,516,,3.8,Target Reach ,Public ,,,,
Kaiser Permanente School of Medicine,CA,516,,3.78,Target Reach ,Private ,,,,
University of Massachusetts Medical School,MA,514,,3.77,Target Reach ,Public ,,,,
University of Connecticut School of Medicine,CT,512,,3.77,Target Reach ,Public ,,,,
"University of California, Irvine, School of Medicine",CA,516,,3.76,Target Reach ,Public ,,,,
University of Michigan Medical School,MI,515,,3.72,Target Reach ,Public,,,,
University of Miami Leonard M. Miller School of Medicine,FL,514,3.75,3.7,Target Reach ,Public ,,,,
State University of New York Downstate Medical Center College of Medicine,NY,514,,3.75,Target Reach ,Public ,,,,
Tufts University School of Medicine,MA,514,,3.71,Target Reach ,Private ,,,,
University of Nebraska College of Medicine,NE,512,,3.85,Target Reach ,Public,,,,
University of Washington School of Medicine,WA,510,,3.75,Target,Public ,,,,
"University of Hawaii, John A. Burns School of Medicine",HI,511,,3.76,Target,Public ,,,,
University of New Mexico School of Medicine,NM,506,,3.74,Target,Public ,,,,
University of Vermont College of Medicine,VT,509,,3.73,Target,Public ,,,,
Rutgers New Jersey Medical School,NJ,514,,3.7,Target,Public ,,,,
"University of California, Davis, School of Medicine",CA,510,3.51,3.7,Target,Public ,,,,
George Washington University School of Medicine and Health Sciences,DC,512,,3.72,Target,Public ,,,,
Emory University School of Medicine,GA,514,,3.7,Target,Private ,,,,
"Rutgers, Robert Wood Johnson Medical School",NJ,514,,3.68,Target,Public ,,,,
State University of New York Upstate Medical University,NY,512,,3.67,Target,Public ,,,,
Geisel School of Medicine at Dartmouth,NH,514,,3.74,Target,Private ,,,,
University of North Carolina at Chapel Hill School of Medicine,NC,512,,3.66,Target,Public ,,,,
Georgetown University School of Medicine,DC,512,,3.63,Target,Private ,,,,
Rosalind Franklin University of Medicine & Science,IL,512,3.5,3.6,Target,Private ,,,,
"University of California, Riverside, School of Medicine",CA,509,3.6,,Target,Public ,,,,
Loyola University Chicago Stritch School of Medicine,IL,508,,3.5,Target,Private ,"Rolling Admissions, VERY DACA friendly ",,,
"University of California, Los Angeles David Geffen School of Medicine",CA,512,,3.4,Target,Public ,,,,
Howard University College of Medicine,DC,504,,3.5,Target,Private ,,,,
Rush Medical College of Rush University Medical Center,IL,511,,3.65,Target,Private ,,,,
University of Illinois College of Medicine,IL,513,,3.8,Target,Public,,,,
University of Kansas School of Medicine,KS,510,,3.88,Target,Public,,,,
Tulane University School of Medicine,LA,508,,3.52,Target,Private ,,,,
Michigan State University College of Human Medicine,MI,510,,3.77,Target,Public ,,,,
CUNY School of Medicine,NY,,,,Target,Public,,,,
Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,NY,510,,3.66,Target,Public,,,,
New York Medical College,NY,514,,3.6,Target,Private ,,,,
Ohio State University College of Medicine,OH,514,,3.82,Target,Public,,,,
Oregon Health & Science University School of Medicine,OR,509,,3.65,Target,Public,,,,
Pennsylvania State University College of Medicine,PA,511,,3.75,Target,Public,,,,
Medical University of South Carolina College of Medicine,SC,511,,3.7,Target,Public,,,,
Meharry Medical College,TN,503,,3.46,Target,Private ,,,,
TCU and UNTHSC School of Medicine,TX,508,,3.56,Target,Private ,,,,
Medical College of Wisconsin,WI,511,,3.75,Target,Private ,,,,
University of Wisconsin School of Medicine and Public Health,WI,511,,3.73,Target,Public,,,,
Marshall University Joan C. Edwards School of Medicine,WV,504,,3.62,Target,Public,,,,
West Virginia University School of Medicine,WV,511,,3.75,Target,Public ,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
How to Study for the MCAT in 3 Months – Kaplan Test Prep (kaptest.com),,,,,,,,,,
,,,,,,,,,,
Which schools are rolling admission? ,,,,,,,,,,
,,,,,,,,,,
https://students-residents.aamc.org/media/7031/download,,,,,,,,,,
,,,,,,,,,,
https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,,,,,,,,
